Date,Glue,Athena
2022-01-01,0.200420705,0.006788253
2022-02-01,0.234382219,0.008365781
2022-03-01,0.179985882,0.011511357
2022-04-01,0.672464054,0.011120005
2022-05-01,0.328547535,0.015959739
2022-06-01,0.329692626,0.046454171
2022-07-01,0.328822443,0.022741952
2022-08-01,0.335708303,0.02577245
2022-09-01,0.45159921,0.03685975
2022-10-01,0.340109882,0.032156505
2022-11-01,0.220127312,0.036355487
2022-12-01,0.403483999,0.021851418
2023-01-01,0.569655357,0.023029389
2023-02-01,1,0.021210018
2023-03-01,0.899546517,0.044674264
2023-04-01,0.73687876,0.031588545
2023-05-01,0.551994307,0.051260474
2023-06-01,0.636772285,0.072586448
2023-07-01,0.614878175,0.058661321
2023-08-01,0.377902109,0.054203463
2023-09-01,0.269275657,0.049290057
2023-10-01,0.336504288,0.070287508
2023-11-01,0.401783323,0.083716463
2023-12-01,0.215929806,0.13910671
2024-01-01,0.209232392,0.118885746
2024-02-01,0.216702723,0.245415438
2024-03-01,0.232509031,0.151613374
2024-04-01,0.157422939,0.132180651
2024-05-01,0.042727833,0.126205249
2024-06-01,0.037141199,0.162597972
2024-07-01,0.039169778,0.154782834
2024-08-01,0.038066579,0.135886554